get | время выполнения - 0.09101462364196777 секунд
get | время выполнения - 13.951863288879395 секунд
get | время выполнения - 8.09732460975647 секунд
get | время выполнения - 0.14803743362426758 секунд
get | время выполнения - 0.12117671966552734 секунд
get | время выполнения - 0.4698038101196289 секунд
get | время выполнения - 0.46460819244384766 секунд
get | время выполнения - 0.8472037315368652 секунд
get | время выполнения - 0.5541260242462158 секунд
get | время выполнения - 0.07300829887390137 секунд
get | время выполнения - 0.6050846576690674 секунд
get | время выполнения - 0.1340336799621582 секунд
get | время выполнения - 1.1111955642700195 секунд
get | время выполнения - 0.05401444435119629 секунд
get | время выполнения - 0.17204546928405762 секунд
get | время выполнения - 1.0751214027404785 секунд
get | время выполнения - 0.4150829315185547 секунд
get | время выполнения - 1.2291736602783203 секунд
get | время выполнения - 0.5341391563415527 секунд
get | время выполнения - 1.1190111637115479 секунд
get | время выполнения - 0.8592147827148438 секунд
get | время выполнения - 1.652425765991211 секунд
get | время выполнения - 0.9561901092529297 секунд
get | время выполнения - 0.6471614837646484 секунд
get | время выполнения - 2.1775496006011963 секунд
get | время выполнения - 0.1680436134338379 секунд
get | время выполнения - 3.156651496887207 секунд
get | время выполнения - 1.6762757301330566 секунд
get | время выполнения - 1.103173017501831 секунд
get | время выполнения - 0.4600861072540283 секунд
get | время выполнения - 0.49712586402893066 секунд
get | время выполнения - 0.6451656818389893 секунд
get | время выполнения - 0.6151354312896729 секунд
get | время выполнения - 0.4831230640411377 секунд
get | время выполнения - 0.8700830936431885 секунд
get | время выполнения - 0.5071282386779785 секунд
get | время выполнения - 0.5361318588256836 секунд
get | время выполнения - 0.5450229644775391 секунд
get | время выполнения - 0.5001270771026611 секунд
get | время выполнения - 0.4949679374694824 секунд
get | время выполнения - 0.5321283340454102 секунд
get | время выполнения - 0.5061335563659668 секунд
get | время выполнения - 0.5601406097412109 секунд
get | время выполнения - 0.48812389373779297 секунд
get | время выполнения - 0.5301327705383301 секунд
get | время выполнения - 0.5051298141479492 секунд
get | время выполнения - 0.531134843826294 секунд
get | время выполнения - 0.546133279800415 секунд
get | время выполнения - 0.4830756187438965 секунд
get | время выполнения - 0.6081521511077881 секунд
get | время выполнения - 0.7211885452270508 секунд
get | время выполнения - 0.5961449146270752 секунд
get | время выполнения - 0.45610976219177246 секунд
get | время выполнения - 0.485123872756958 секунд
get | время выполнения - 0.44409918785095215 секунд
get | время выполнения - 0.42597317695617676 секунд
get | время выполнения - 0.497119665145874 секунд
get | время выполнения - 0.46811580657958984 секунд
get | время выполнения - 0.791191816329956 секунд
get | время выполнения - 0.4441099166870117 секунд
get | время выполнения - 0.47712159156799316 секунд
get | время выполнения - 0.4421067237854004 секунд
get | время выполнения - 0.5741457939147949 секунд
get | время выполнения - 0.46411561965942383 секунд
get | время выполнения - 0.4778156280517578 секунд
get | время выполнения - 0.42434167861938477 секунд
get | время выполнения - 0.45125770568847656 секунд
get | время выполнения - 1.539381742477417 секунд
get | время выполнения - 2.553644895553589 секунд
get | время выполнения - 0.0830237865447998 секунд
get | время выполнения - 0.11603403091430664 секунд
get | время выполнения - 6.954442977905273 секунд
get | время выполнения - 0.13103556632995605 секунд
get | время выполнения - 0.06587958335876465 секунд
get | время выполнения - 1.2863199710845947 секунд
get | время выполнения - 0.633164644241333 секунд
get | время выполнения - 0.053014278411865234 секунд
get | время выполнения - 0.45811033248901367 секунд
get | время выполнения - 0.05502176284790039 секунд
get | время выполнения - 0.30394816398620605 секунд
get | время выполнения - 0.06100583076477051 секунд
get | время выполнения - 0.47011780738830566 секунд
get | время выполнения - 0.5851521492004395 секунд
get | время выполнения - 0.11102914810180664 секунд
get | время выполнения - 1.6084063053131104 секунд
get | время выполнения - 0.041008949279785156 секунд
get | время выполнения - 0.5201313495635986 секунд
get | время выполнения - 0.2440657615661621 секунд
get | время выполнения - 0.2500603199005127 секунд
get | время выполнения - 0.5641427040100098 секунд
get | время выполнения - 0.8762245178222656 секунд
get | время выполнения - 0.36268019676208496 секунд
get | время выполнения - 0.16316533088684082 секунд
